+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                                                   ;
+---------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                                               ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; DE0_Nano_SOPC_inst|rst_controller|alt_rst_req_sync_uq1                                                                                                  ; 2     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|rst_controller|alt_rst_sync_uq1                                                                                                      ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|rst_controller                                                                                                                       ; 33    ; 30             ; 0            ; 30             ; 1      ; 30              ; 30            ; 30              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|irq_synchronizer_006                                                                                                                 ; 5     ; 0              ; 2            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|irq_synchronizer_005                                                                                                                 ; 5     ; 0              ; 2            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|irq_synchronizer_004                                                                                                                 ; 5     ; 0              ; 2            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|irq_synchronizer_003                                                                                                                 ; 5     ; 0              ; 2            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|irq_synchronizer_002                                                                                                                 ; 5     ; 0              ; 2            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|irq_synchronizer_001                                                                                                                 ; 5     ; 0              ; 2            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|irq_synchronizer                                                                                                                     ; 5     ; 0              ; 2            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|irq_mapper                                                                                                                           ; 10    ; 24             ; 2            ; 24             ; 32     ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|mm_interconnect_2|rsp_xbar_mux|arb|adder                                                                                             ; 16    ; 8              ; 0            ; 8              ; 8      ; 8               ; 8             ; 8               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|mm_interconnect_2|rsp_xbar_mux|arb                                                                                                   ; 8     ; 0              ; 4            ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|mm_interconnect_2|rsp_xbar_mux                                                                                                       ; 367   ; 0              ; 0            ; 0              ; 95     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|mm_interconnect_2|rsp_xbar_demux_003                                                                                                 ; 94    ; 1              ; 2            ; 1              ; 92     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|mm_interconnect_2|rsp_xbar_demux_002                                                                                                 ; 94    ; 1              ; 2            ; 1              ; 92     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|mm_interconnect_2|rsp_xbar_demux_001                                                                                                 ; 94    ; 1              ; 2            ; 1              ; 92     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|mm_interconnect_2|rsp_xbar_demux                                                                                                     ; 94    ; 1              ; 2            ; 1              ; 92     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|mm_interconnect_2|cmd_xbar_mux_003                                                                                                   ; 94    ; 0              ; 2            ; 0              ; 92     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|mm_interconnect_2|cmd_xbar_mux_002                                                                                                   ; 94    ; 0              ; 2            ; 0              ; 92     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|mm_interconnect_2|cmd_xbar_mux_001                                                                                                   ; 94    ; 0              ; 2            ; 0              ; 92     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|mm_interconnect_2|cmd_xbar_mux                                                                                                       ; 94    ; 0              ; 2            ; 0              ; 92     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|mm_interconnect_2|cmd_xbar_demux                                                                                                     ; 100   ; 16             ; 2            ; 16             ; 365    ; 16              ; 16            ; 16              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|mm_interconnect_2|limiter                                                                                                            ; 186   ; 0              ; 0            ; 0              ; 187    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|mm_interconnect_2|id_router_003|the_default_decode                                                                                   ; 0     ; 4              ; 0            ; 4              ; 4      ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|mm_interconnect_2|id_router_003                                                                                                      ; 90    ; 0              ; 2            ; 0              ; 92     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|mm_interconnect_2|id_router_002|the_default_decode                                                                                   ; 0     ; 4              ; 0            ; 4              ; 4      ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|mm_interconnect_2|id_router_002                                                                                                      ; 90    ; 0              ; 2            ; 0              ; 92     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|mm_interconnect_2|id_router_001|the_default_decode                                                                                   ; 0     ; 4              ; 0            ; 4              ; 4      ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|mm_interconnect_2|id_router_001                                                                                                      ; 90    ; 0              ; 2            ; 0              ; 92     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|mm_interconnect_2|id_router|the_default_decode                                                                                       ; 0     ; 4              ; 0            ; 4              ; 4      ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|mm_interconnect_2|id_router                                                                                                          ; 90    ; 0              ; 2            ; 0              ; 92     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|mm_interconnect_2|addr_router|the_default_decode                                                                                     ; 0     ; 6              ; 0            ; 6              ; 6      ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|mm_interconnect_2|addr_router                                                                                                        ; 90    ; 0              ; 4            ; 0              ; 92     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|mm_interconnect_2|gsensor_spi_slave_translator_avalon_universal_slave_0_agent_rsp_fifo                                               ; 130   ; 39             ; 0            ; 39             ; 89     ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|mm_interconnect_2|gsensor_spi_slave_translator_avalon_universal_slave_0_agent|uncompressor                                           ; 26    ; 1              ; 0            ; 1              ; 24     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|mm_interconnect_2|gsensor_spi_slave_translator_avalon_universal_slave_0_agent                                                        ; 256   ; 39             ; 41           ; 39             ; 268    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|mm_interconnect_2|epcs_epcs_control_port_translator_avalon_universal_slave_0_agent_rsp_fifo                                          ; 130   ; 39             ; 0            ; 39             ; 89     ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|mm_interconnect_2|epcs_epcs_control_port_translator_avalon_universal_slave_0_agent|uncompressor                                      ; 26    ; 1              ; 0            ; 1              ; 24     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|mm_interconnect_2|epcs_epcs_control_port_translator_avalon_universal_slave_0_agent                                                   ; 256   ; 39             ; 41           ; 39             ; 268    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|mm_interconnect_2|i2c_scl_s1_translator_avalon_universal_slave_0_agent_rsp_fifo                                                      ; 130   ; 39             ; 0            ; 39             ; 89     ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|mm_interconnect_2|i2c_scl_s1_translator_avalon_universal_slave_0_agent|uncompressor                                                  ; 26    ; 1              ; 0            ; 1              ; 24     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|mm_interconnect_2|i2c_scl_s1_translator_avalon_universal_slave_0_agent                                                               ; 256   ; 39             ; 41           ; 39             ; 268    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|mm_interconnect_2|i2c_sda_s1_translator_avalon_universal_slave_0_agent_rsp_fifo                                                      ; 130   ; 39             ; 0            ; 39             ; 89     ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|mm_interconnect_2|i2c_sda_s1_translator_avalon_universal_slave_0_agent|uncompressor                                                  ; 26    ; 1              ; 0            ; 1              ; 24     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|mm_interconnect_2|i2c_sda_s1_translator_avalon_universal_slave_0_agent                                                               ; 256   ; 39             ; 41           ; 39             ; 268    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|mm_interconnect_2|clock_crossing_io2_m0_translator_avalon_universal_master_0_agent                                                   ; 150   ; 34             ; 59           ; 34             ; 122    ; 34              ; 34            ; 34              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|mm_interconnect_2|gsensor_spi_slave_translator                                                                                       ; 72    ; 31             ; 35           ; 31             ; 49     ; 31              ; 31            ; 31              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|mm_interconnect_2|epcs_epcs_control_port_translator                                                                                  ; 96    ; 7              ; 3            ; 7              ; 78     ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|mm_interconnect_2|i2c_scl_s1_translator                                                                                              ; 96    ; 7              ; 13           ; 7              ; 70     ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|mm_interconnect_2|i2c_sda_s1_translator                                                                                              ; 96    ; 7              ; 13           ; 7              ; 70     ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|mm_interconnect_2|clock_crossing_io2_m0_translator                                                                                   ; 97    ; 11             ; 2            ; 11             ; 89     ; 11              ; 11            ; 11              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|mm_interconnect_2                                                                                                                    ; 158   ; 0              ; 0            ; 0              ; 165    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|mm_interconnect_1|rsp_xbar_mux|arb|adder                                                                                             ; 24    ; 12             ; 0            ; 12             ; 12     ; 12              ; 12            ; 12              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|mm_interconnect_1|rsp_xbar_mux|arb                                                                                                   ; 10    ; 0              ; 4            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|mm_interconnect_1|rsp_xbar_mux                                                                                                       ; 543   ; 0              ; 0            ; 0              ; 96     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|mm_interconnect_1|rsp_xbar_demux_005                                                                                                 ; 93    ; 1              ; 2            ; 1              ; 91     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|mm_interconnect_1|rsp_xbar_demux_004                                                                                                 ; 93    ; 1              ; 2            ; 1              ; 91     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|mm_interconnect_1|rsp_xbar_demux_003                                                                                                 ; 93    ; 1              ; 2            ; 1              ; 91     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|mm_interconnect_1|rsp_xbar_demux_002                                                                                                 ; 93    ; 1              ; 2            ; 1              ; 91     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|mm_interconnect_1|rsp_xbar_demux_001                                                                                                 ; 93    ; 1              ; 2            ; 1              ; 91     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|mm_interconnect_1|rsp_xbar_demux                                                                                                     ; 93    ; 1              ; 2            ; 1              ; 91     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|mm_interconnect_1|cmd_xbar_mux_005                                                                                                   ; 93    ; 0              ; 2            ; 0              ; 91     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|mm_interconnect_1|cmd_xbar_mux_004                                                                                                   ; 93    ; 0              ; 2            ; 0              ; 91     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|mm_interconnect_1|cmd_xbar_mux_003                                                                                                   ; 93    ; 0              ; 2            ; 0              ; 91     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|mm_interconnect_1|cmd_xbar_mux_002                                                                                                   ; 93    ; 0              ; 2            ; 0              ; 91     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|mm_interconnect_1|cmd_xbar_mux_001                                                                                                   ; 93    ; 0              ; 2            ; 0              ; 91     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|mm_interconnect_1|cmd_xbar_mux                                                                                                       ; 93    ; 0              ; 2            ; 0              ; 91     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|mm_interconnect_1|cmd_xbar_demux                                                                                                     ; 103   ; 36             ; 2            ; 36             ; 541    ; 36              ; 36            ; 36              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|mm_interconnect_1|limiter                                                                                                            ; 184   ; 0              ; 0            ; 0              ; 187    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|mm_interconnect_1|id_router_005|the_default_decode                                                                                   ; 0     ; 6              ; 0            ; 6              ; 6      ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|mm_interconnect_1|id_router_005                                                                                                      ; 87    ; 0              ; 2            ; 0              ; 91     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|mm_interconnect_1|id_router_004|the_default_decode                                                                                   ; 0     ; 6              ; 0            ; 6              ; 6      ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|mm_interconnect_1|id_router_004                                                                                                      ; 87    ; 0              ; 2            ; 0              ; 91     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|mm_interconnect_1|id_router_003|the_default_decode                                                                                   ; 0     ; 6              ; 0            ; 6              ; 6      ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|mm_interconnect_1|id_router_003                                                                                                      ; 87    ; 0              ; 2            ; 0              ; 91     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|mm_interconnect_1|id_router_002|the_default_decode                                                                                   ; 0     ; 6              ; 0            ; 6              ; 6      ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|mm_interconnect_1|id_router_002                                                                                                      ; 87    ; 0              ; 2            ; 0              ; 91     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|mm_interconnect_1|id_router_001|the_default_decode                                                                                   ; 0     ; 6              ; 0            ; 6              ; 6      ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|mm_interconnect_1|id_router_001                                                                                                      ; 87    ; 0              ; 2            ; 0              ; 91     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|mm_interconnect_1|id_router|the_default_decode                                                                                       ; 0     ; 6              ; 0            ; 6              ; 6      ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|mm_interconnect_1|id_router                                                                                                          ; 87    ; 0              ; 2            ; 0              ; 91     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|mm_interconnect_1|addr_router|the_default_decode                                                                                     ; 0     ; 9              ; 0            ; 9              ; 9      ; 9               ; 9             ; 9               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|mm_interconnect_1|addr_router                                                                                                        ; 87    ; 0              ; 5            ; 0              ; 91     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|mm_interconnect_1|select_i2c_clk_s1_translator_avalon_universal_slave_0_agent_rsp_fifo                                               ; 127   ; 39             ; 0            ; 39             ; 86     ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|mm_interconnect_1|select_i2c_clk_s1_translator_avalon_universal_slave_0_agent|uncompressor                                           ; 21    ; 1              ; 0            ; 1              ; 19     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|mm_interconnect_1|select_i2c_clk_s1_translator_avalon_universal_slave_0_agent                                                        ; 252   ; 39             ; 43           ; 39             ; 257    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|mm_interconnect_1|g_sensor_int_s1_translator_avalon_universal_slave_0_agent_rsp_fifo                                                 ; 127   ; 39             ; 0            ; 39             ; 86     ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|mm_interconnect_1|g_sensor_int_s1_translator_avalon_universal_slave_0_agent|uncompressor                                             ; 21    ; 1              ; 0            ; 1              ; 19     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|mm_interconnect_1|g_sensor_int_s1_translator_avalon_universal_slave_0_agent                                                          ; 252   ; 39             ; 43           ; 39             ; 257    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|mm_interconnect_1|sw_s1_translator_avalon_universal_slave_0_agent_rsp_fifo                                                           ; 127   ; 39             ; 0            ; 39             ; 86     ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|mm_interconnect_1|sw_s1_translator_avalon_universal_slave_0_agent|uncompressor                                                       ; 21    ; 1              ; 0            ; 1              ; 19     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|mm_interconnect_1|sw_s1_translator_avalon_universal_slave_0_agent                                                                    ; 252   ; 39             ; 43           ; 39             ; 257    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|mm_interconnect_1|led_s1_translator_avalon_universal_slave_0_agent_rsp_fifo                                                          ; 127   ; 39             ; 0            ; 39             ; 86     ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|mm_interconnect_1|led_s1_translator_avalon_universal_slave_0_agent|uncompressor                                                      ; 21    ; 1              ; 0            ; 1              ; 19     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|mm_interconnect_1|led_s1_translator_avalon_universal_slave_0_agent                                                                   ; 252   ; 39             ; 43           ; 39             ; 257    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|mm_interconnect_1|key_s1_translator_avalon_universal_slave_0_agent_rsp_fifo                                                          ; 127   ; 39             ; 0            ; 39             ; 86     ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|mm_interconnect_1|key_s1_translator_avalon_universal_slave_0_agent|uncompressor                                                      ; 21    ; 1              ; 0            ; 1              ; 19     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|mm_interconnect_1|key_s1_translator_avalon_universal_slave_0_agent                                                                   ; 252   ; 39             ; 43           ; 39             ; 257    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|mm_interconnect_1|sysid_control_slave_translator_avalon_universal_slave_0_agent_rsp_fifo                                             ; 127   ; 39             ; 0            ; 39             ; 86     ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|mm_interconnect_1|sysid_control_slave_translator_avalon_universal_slave_0_agent|uncompressor                                         ; 21    ; 1              ; 0            ; 1              ; 19     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|mm_interconnect_1|sysid_control_slave_translator_avalon_universal_slave_0_agent                                                      ; 252   ; 39             ; 43           ; 39             ; 257    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|mm_interconnect_1|clock_crossing_io_m0_translator_avalon_universal_master_0_agent                                                    ; 144   ; 36             ; 58           ; 36             ; 119    ; 36              ; 36            ; 36              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|mm_interconnect_1|select_i2c_clk_s1_translator                                                                                       ; 91    ; 7              ; 8            ; 7              ; 70     ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_Nano_SOPC_inst|mm_interconnect_1|g_sensor_int_s1_translator                                                                                         ; 91    ; 7              ; 8            ; 7              ; 70     ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
